,,,Scope/Entity,,,,Service/Entity,,,,,,count,entity_type,scope,scope_description,service_identifier,service_display_text,service_description,service_endpoint,setting_identifier,settings_table,service_table,latest_value,latest_value_timestamp
7,2,AVS,AVSParent,7,2,avs.services.avs,AVSavs.services.avsParent,AVSavs.services.avsivs.track.request,1,3,,,1,Parent,AVS,Account Verification Service API,avs.services.avs,Account Verification,Can perform account verification,/,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,664
8,2,AVS,AVSParent,8,2,avs.services.avs,AVSavs.services.avsParent,,0,3,,,76,Parent,AVS,Account Verification Service API,avs.services.avs,Account Verification,Can perform account verification,/,,entity_service_type_setting,,,
9,2,AVS,AVSIntegrator,9,2,avs.services.avs,AVSavs.services.avsIntegrator,,0,3,,,78,Integrator,AVS,Account Verification Service API,avs.services.avs,Account Verification,Can perform account verification,/,,entity_service_type_setting,,,
10,2,AVS,AVSParent,10,2,avs.services.avs,AVSavs.services.avsParent,,0,3,,,1,Parent,AVS,Account Verification Service API,avs.services.avs,Account Verification,Can perform account verification,/,,entity_service_type_setting,,,
11,2,AVS,AVSPerson,11,2,avs.services.avs,AVSavs.services.avsPerson,,0,3,,,1,Person,AVS,Account Verification Service API,avs.services.avs,Account Verification,Can perform account verification,/,,entity_service_type_setting,,,
12,2,AVS,AVSDevice,12,2,avs.services.avs,AVSavs.services.avsDevice,,0,3,,,14,Device,AVS,Account Verification Service API,avs.services.avs,Account Verification,Can perform account verification,/,,entity_service_type_setting,,,
13,2,AVS,AVSParent,13,2,avs.services.avs,AVSavs.services.avsParent,,0,3,,,1,Parent,AVS,Account Verification Service API,avs.services.avs,Account Verification,Can perform account verification,/,,entity_service_setting,,,
14,2,AVS,AVSDevice,14,2,avs.services.avs,AVSavs.services.avsDevice,,0,3,,,48,Device,AVS,Account Verification Service API,avs.services.avs,Account Verification,Can perform account verification,/,,entity_service_setting,,,
15,2,AVS,AVSIntegrator,15,2,avs.services.avs,AVSavs.services.avsIntegrator,,0,3,,,90,Integrator,AVS,Account Verification Service API,avs.services.avs,Account Verification,Can perform account verification,/,,entity_service_setting,,,
16,2,AVS,AVSParent,16,2,avs.services.avs,AVSavs.services.avsParent,,0,3,,,87,Parent,AVS,Account Verification Service API,avs.services.avs,Account Verification,Can perform account verification,/,,entity_service_setting,,,
17,2,AVS,AVSPerson,17,2,avs.services.avs,AVSavs.services.avsPerson,,0,3,,,2,Person,AVS,Account Verification Service API,avs.services.avs,Account Verification,Can perform account verification,/,,entity_service_setting,,,
1,3,BIVS,BIVSDevice,1,3,bivs.services.bivs,BIVSbivs.services.bivsDevice,BIVSbivs.services.bivsbivs.track.request,1,4,,,7,Device,BIVS,Batch Identity Verification Service API,bivs.services.bivs,Batch IVS,Can upload ivs batch,/,bivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4833
2,3,BIVS,BIVSParent,2,3,bivs.services.bivs,BIVSbivs.services.bivsParent,,0,4,,,1,Parent,BIVS,Batch Identity Verification Service API,bivs.services.bivs,Batch IVS,Can upload ivs batch,/,,entity_service_type_setting,,,
3,3,BIVS,BIVSDevice,3,3,bivs.services.bivs,BIVSbivs.services.bivsDevice,,0,4,,,8,Device,BIVS,Batch Identity Verification Service API,bivs.services.bivs,Batch IVS,Can upload ivs batch,/,,entity_service_type_setting,,,
4,3,BIVS,BIVSParent,4,3,bivs.services.bivs,BIVSbivs.services.bivsParent,,0,4,,,5,Parent,BIVS,Batch Identity Verification Service API,bivs.services.bivs,Batch IVS,Can upload ivs batch,/,,entity_service_setting,,,
5,3,BIVS,BIVSIntegrator,5,3,bivs.services.bivs,BIVSbivs.services.bivsIntegrator,,0,4,,,5,Integrator,BIVS,Batch Identity Verification Service API,bivs.services.bivs,Batch IVS,Can upload ivs batch,/,,entity_service_setting,,,
6,3,BIVS,BIVSParent,6,3,bivs.services.bivs,BIVSbivs.services.bivsParent,,0,4,,,1,Parent,BIVS,Batch Identity Verification Service API,bivs.services.bivs,Batch IVS,Can upload ivs batch,/,,entity_service_setting,,,
7,3,BIVS,BIVSDevice,7,3,bivs.services.bivs,BIVSbivs.services.bivsDevice,,0,4,,,16,Device,BIVS,Batch Identity Verification Service API,bivs.services.bivs,Batch IVS,Can upload ivs batch,/,,entity_service_setting,,,
8,3,BIVS,BIVSParent,8,3,bivs.services.bivs,BIVSbivs.services.bivsParent,,0,4,,,5,Parent,BIVS,Batch Identity Verification Service API,bivs.services.bivs,Batch IVS,Can upload ivs batch,/,,entity_service_type_setting,,,
9,3,BIVS,BIVSIntegrator,9,3,bivs.services.bivs,BIVSbivs.services.bivsIntegrator,,0,4,,,5,Integrator,BIVS,Batch Identity Verification Service API,bivs.services.bivs,Batch IVS,Can upload ivs batch,/,,entity_service_type_setting,,,
1,4,BMS,BMSParent,1,4,bms.services.bms,BMSbms.services.bmsParent,,0,4,,,95,Parent,BMS,Messaging Service API,bms.services.bms,Messaging Service,Can perform the sending of sms,/,,entity_service_setting,,,
2,4,BMS,BMSDevice,2,4,bms.services.bms,BMSbms.services.bmsDevice,,0,4,,,8,Device,BMS,Messaging Service API,bms.services.bms,Messaging Service,Can perform the sending of sms,/,,entity_service_setting,,,
3,4,BMS,BMSIntegrator,3,4,bms.services.bms,BMSbms.services.bmsIntegrator,,0,4,,,96,Integrator,BMS,Messaging Service API,bms.services.bms,Messaging Service,Can perform the sending of sms,/,,entity_service_setting,,,
4,4,BMS,BMSDevice,4,4,bms.services.bms,BMSbms.services.bmsDevice,,0,4,,,2,Device,BMS,Messaging Service API,bms.services.bms,Messaging Service,Can perform the sending of sms,/,,entity_service_setting,,,
5,4,BMS,BMSParent,5,4,bms.services.bms,BMSbms.services.bmsParent,,0,4,,,1,Parent,BMS,Messaging Service API,bms.services.bms,Messaging Service,Can perform the sending of sms,/,,entity_service_setting,,,
6,4,BMS,BMSParent,6,4,bms.services.bms,BMSbms.services.bmsParent,,0,4,,,99,Parent,BMS,Messaging Service API,bms.services.bms,Messaging Service,Can perform the sending of sms,/,,entity_service_type_setting,,,
7,4,BMS,BMSDevice,7,4,bms.services.bms,BMSbms.services.bmsDevice,,0,4,,,8,Device,BMS,Messaging Service API,bms.services.bms,Messaging Service,Can perform the sending of sms,/,,entity_service_type_setting,,,
8,4,BMS,BMSIntegrator,8,4,bms.services.bms,BMSbms.services.bmsIntegrator,,0,4,,,99,Integrator,BMS,Messaging Service API,bms.services.bms,Messaging Service,Can perform the sending of sms,/,,entity_service_type_setting,,,
9,4,BMS,BMSDevice,9,4,bms.services.bms,BMSbms.services.bmsDevice,,0,4,,,2,Device,BMS,Messaging Service API,bms.services.bms,Messaging Service,Can perform the sending of sms,/,,entity_service_type_setting,,,
