,,,Scope/Entity,,,,Service/Entity,,,,,,count,entity_type,scope,scope_description,service_identifier,service_display_text,service_description,service_endpoint,setting_identifier,settings_table,service_table,latest_value,latest_value_timestamp
26,15,FVS,FVSPerson,12,20,fvs.services.liveness,FVSfvs.services.livenessPerson,FVSfvs.services.livenessfvs.liveness.sms.header,1,38,,,1,Person,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,fvs.liveness.sms.header,entity_service_setting,entity_service_setting,Facial Recognition & Liveness Verification. Please verify your identity - ,1897
27,15,FVS,FVSParent,13,20,fvs.services.liveness,FVSfvs.services.livenessParent,FVSfvs.services.livenessfvs.liveness.sms.header,2,38,,,13,Parent,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,fvs.liveness.sms.header,entity_service_setting,entity_service_setting,Facial Recognition & Liveness Verification. Please verify your identity - ,1897
28,15,FVS,FVSIntegrator,14,20,fvs.services.liveness,FVSfvs.services.livenessIntegrator,FVSfvs.services.livenessfvs.liveness.sms.header,3,38,,,4,Integrator,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,fvs.liveness.sms.header,entity_service_setting,entity_service_setting,Facial Recognition & Liveness Verification. Please verify your identity - ,1897
29,15,FVS,FVSParent,15,20,fvs.services.liveness,FVSfvs.services.livenessParent,FVSfvs.services.livenessfvs.liveness.sms.header,4,38,,,1,Parent,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,fvs.liveness.sms.header,entity_service_setting,entity_service_setting,Facial Recognition & Liveness Verification. Please verify your identity - ,1897
30,15,FVS,FVSDevice,16,20,fvs.services.liveness,FVSfvs.services.livenessDevice,FVSfvs.services.livenessfvs.track.request,1,39,,,51,Device,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,fvs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4834
31,15,FVS,FVSParent,17,20,fvs.services.liveness,FVSfvs.services.livenessParent,FVSfvs.services.livenessfvs.track.request,2,39,,,1,Parent,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,fvs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4834
32,15,FVS,FVSDevice,18,20,fvs.services.liveness,FVSfvs.services.livenessDevice,,0,39,,,5,Device,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,,entity_service_type_setting,,,
33,15,FVS,FVSWeb Service,19,20,fvs.services.liveness,FVSfvs.services.livenessWeb Service,,0,39,,,1,Web Service,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,,entity_service_type_setting,,,
34,15,FVS,FVSParent,20,20,fvs.services.liveness,FVSfvs.services.livenessParent,,0,39,,,2,Parent,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,,entity_service_type_setting,,,
35,15,FVS,FVSPerson,21,20,fvs.services.liveness,FVSfvs.services.livenessPerson,,0,39,,,1,Person,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,,entity_service_type_setting,,,
36,15,FVS,FVSParent,22,20,fvs.services.liveness,FVSfvs.services.livenessParent,,0,39,,,1,Parent,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,,entity_service_setting,,,
37,15,FVS,FVSDevice,23,20,fvs.services.liveness,FVSfvs.services.livenessDevice,,0,39,,,28,Device,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,,entity_service_setting,,,
38,15,FVS,FVSIntegrator,24,20,fvs.services.liveness,FVSfvs.services.livenessIntegrator,,0,39,,,18,Integrator,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,,entity_service_setting,,,
39,15,FVS,FVSParent,25,20,fvs.services.liveness,FVSfvs.services.livenessParent,,0,39,,,11,Parent,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,,entity_service_setting,,,
40,15,FVS,FVSParent,26,20,fvs.services.liveness,FVSfvs.services.livenessParent,,0,39,,,1,Parent,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,,entity_service_type_setting,,,
41,15,FVS,FVSIntegrator,27,20,fvs.services.liveness,FVSfvs.services.livenessIntegrator,,0,39,,,26,Integrator,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,,entity_service_type_setting,,,
42,15,FVS,FVSParent,28,20,fvs.services.liveness,FVSfvs.services.livenessParent,,0,39,,,26,Parent,FVS,Facial Verification Service,fvs.services.liveness,Facial Liveness & Verification Service,Facial Liveness & Verification Service,/liveness,,entity_service_type_setting,,,
1,16,IVS,IVSParent,1,21,ivs.services.bvs,IVSivs.services.bvsParent,IVSivs.services.bvsavs.track.request,1,40,,,1,Parent,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,avs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,665
2,16,IVS,IVSDevice,2,21,ivs.services.bvs,IVSivs.services.bvsDevice,IVSivs.services.bvsivs.track.request,1,41,,,41,Device,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
3,16,IVS,IVSIntegrator,3,21,ivs.services.bvs,IVSivs.services.bvsIntegrator,IVSivs.services.bvsivs.track.request,2,41,,,2,Integrator,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
4,16,IVS,IVSParent,4,21,ivs.services.bvs,IVSivs.services.bvsParent,IVSivs.services.bvsivs.track.request,3,41,,,1,Parent,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
5,16,IVS,IVSParent,5,21,ivs.services.bvs,IVSivs.services.bvsParent,,0,41,,,2,Parent,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_setting,,,
6,16,IVS,IVSDevice,6,21,ivs.services.bvs,IVSivs.services.bvsDevice,,0,41,,,13,Device,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_setting,,,
7,16,IVS,IVSParent,7,21,ivs.services.bvs,IVSivs.services.bvsParent,,0,41,,,1,Parent,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_setting,,,
8,16,IVS,IVSParent,8,21,ivs.services.bvs,IVSivs.services.bvsParent,,0,41,,,1,Parent,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_setting,,,
9,16,IVS,IVSIntegrator,9,21,ivs.services.bvs,IVSivs.services.bvsIntegrator,,0,41,,,109,Integrator,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_setting,,,
10,16,IVS,IVSDevice,10,21,ivs.services.bvs,IVSivs.services.bvsDevice,,0,41,,,8,Device,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_setting,,,
11,16,IVS,IVSParent,11,21,ivs.services.bvs,IVSivs.services.bvsParent,,0,41,,,110,Parent,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_setting,,,
12,16,IVS,IVSPerson,12,21,ivs.services.bvs,IVSivs.services.bvsPerson,,0,41,,,1,Person,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_type_setting,,,
13,16,IVS,IVSDevice,13,21,ivs.services.bvs,IVSivs.services.bvsDevice,,0,41,,,16,Device,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_type_setting,,,
14,16,IVS,IVSParent,14,21,ivs.services.bvs,IVSivs.services.bvsParent,,0,41,,,2,Parent,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_type_setting,,,
15,16,IVS,IVSWeb Service,15,21,ivs.services.bvs,IVSivs.services.bvsWeb Service,,0,41,,,4,Web Service,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_type_setting,,,
16,16,IVS,IVSWeb Service,16,21,ivs.services.bvs,IVSivs.services.bvsWeb Service,,0,41,,,1,Web Service,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_setting,,,
17,16,IVS,IVSParent,17,21,ivs.services.bvs,IVSivs.services.bvsParent,,0,41,,,165,Parent,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_type_setting,,,
18,16,IVS,IVSIntegrator,18,21,ivs.services.bvs,IVSivs.services.bvsIntegrator,,0,41,,,160,Integrator,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_type_setting,,,
19,16,IVS,IVSParent,19,21,ivs.services.bvs,IVSivs.services.bvsParent,,0,41,,,2,Parent,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_type_setting,,,
20,16,IVS,IVSDevice,20,21,ivs.services.bvs,IVSivs.services.bvsDevice,,0,41,,,1,Device,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_type_setting,,,
21,16,IVS,IVSParent,21,21,ivs.services.bvs,IVSivs.services.bvsParent,,0,41,,,1,Parent,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_type_setting,,,
22,16,IVS,IVSDevice,22,21,ivs.services.bvs,IVSivs.services.bvsDevice,,0,41,,,8,Device,IVS,Identity Verification Service API,ivs.services.bvs,IVS BVS,Can perform fingerprint matching,/biometrics,,entity_service_type_setting,,,
23,16,IVS,IVSParent,1,22,ivs.services.data,IVSivs.services.dataParent,IVSivs.services.dataavs.track.request,1,42,,,1,Parent,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,avs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,665
24,16,IVS,IVSDevice,2,22,ivs.services.data,IVSivs.services.dataDevice,IVSivs.services.dataivs.track.request,1,43,,,41,Device,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
25,16,IVS,IVSParent,3,22,ivs.services.data,IVSivs.services.dataParent,IVSivs.services.dataivs.track.request,2,43,,,1,Parent,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
26,16,IVS,IVSIntegrator,4,22,ivs.services.data,IVSivs.services.dataIntegrator,IVSivs.services.dataivs.track.request,3,43,,,2,Integrator,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
27,16,IVS,IVSParent,5,22,ivs.services.data,IVSivs.services.dataParent,,0,43,,,2,Parent,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_type_setting,,,
28,16,IVS,IVSParent,6,22,ivs.services.data,IVSivs.services.dataParent,,0,43,,,141,Parent,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_setting,,,
29,16,IVS,IVSDevice,7,22,ivs.services.data,IVSivs.services.dataDevice,,0,43,,,8,Device,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_setting,,,
30,16,IVS,IVSIntegrator,8,22,ivs.services.data,IVSivs.services.dataIntegrator,,0,43,,,140,Integrator,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_setting,,,
31,16,IVS,IVSDevice,9,22,ivs.services.data,IVSivs.services.dataDevice,,0,43,,,16,Device,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_setting,,,
32,16,IVS,IVSWeb Service,10,22,ivs.services.data,IVSivs.services.dataWeb Service,,0,43,,,1,Web Service,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_setting,,,
33,16,IVS,IVSParent,11,22,ivs.services.data,IVSivs.services.dataParent,,0,43,,,165,Parent,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_type_setting,,,
34,16,IVS,IVSDevice,12,22,ivs.services.data,IVSivs.services.dataDevice,,0,43,,,8,Device,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_type_setting,,,
35,16,IVS,IVSIntegrator,13,22,ivs.services.data,IVSivs.services.dataIntegrator,,0,43,,,160,Integrator,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_type_setting,,,
36,16,IVS,IVSDevice,14,22,ivs.services.data,IVSivs.services.dataDevice,,0,43,,,1,Device,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_type_setting,,,
37,16,IVS,IVSParent,15,22,ivs.services.data,IVSivs.services.dataParent,,0,43,,,1,Parent,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_type_setting,,,
38,16,IVS,IVSPerson,16,22,ivs.services.data,IVSivs.services.dataPerson,,0,43,,,1,Person,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_type_setting,,,
39,16,IVS,IVSDevice,17,22,ivs.services.data,IVSivs.services.dataDevice,,0,43,,,16,Device,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_type_setting,,,
40,16,IVS,IVSParent,18,22,ivs.services.data,IVSivs.services.dataParent,,0,43,,,2,Parent,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_type_setting,,,
41,16,IVS,IVSWeb Service,19,22,ivs.services.data,IVSivs.services.dataWeb Service,,0,43,,,4,Web Service,IVS,Identity Verification Service API,ivs.services.data,IVS Data,Can perform identity verification to return data,/data,,entity_service_type_setting,,,
42,16,IVS,IVSParent,1,23,ivs.services.ivs,IVSivs.services.ivsParent,IVSivs.services.ivsavs.track.request,1,44,,,1,Parent,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,avs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,665
43,16,IVS,IVSDevice,2,23,ivs.services.ivs,IVSivs.services.ivsDevice,IVSivs.services.ivsivs.track.request,1,45,,,41,Device,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
44,16,IVS,IVSIntegrator,3,23,ivs.services.ivs,IVSivs.services.ivsIntegrator,IVSivs.services.ivsivs.track.request,2,45,,,2,Integrator,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
45,16,IVS,IVSParent,4,23,ivs.services.ivs,IVSivs.services.ivsParent,IVSivs.services.ivsivs.track.request,3,45,,,1,Parent,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
46,16,IVS,IVSDevice,5,23,ivs.services.ivs,IVSivs.services.ivsDevice,,0,45,,,1,Device,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_type_setting,,,
47,16,IVS,IVSParent,6,23,ivs.services.ivs,IVSivs.services.ivsParent,,0,45,,,1,Parent,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_type_setting,,,
48,16,IVS,IVSParent,7,23,ivs.services.ivs,IVSivs.services.ivsParent,,0,45,,,2,Parent,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_type_setting,,,
49,16,IVS,IVSDevice,8,23,ivs.services.ivs,IVSivs.services.ivsDevice,,0,45,,,16,Device,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_type_setting,,,
50,16,IVS,IVSParent,9,23,ivs.services.ivs,IVSivs.services.ivsParent,,0,45,,,2,Parent,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_type_setting,,,
51,16,IVS,IVSWeb Service,10,23,ivs.services.ivs,IVSivs.services.ivsWeb Service,,0,45,,,4,Web Service,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_type_setting,,,
52,16,IVS,IVSParent,11,23,ivs.services.ivs,IVSivs.services.ivsParent,,0,45,,,164,Parent,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_setting,,,
53,16,IVS,IVSPerson,12,23,ivs.services.ivs,IVSivs.services.ivsPerson,,0,45,,,1,Person,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_type_setting,,,
54,16,IVS,IVSIntegrator,13,23,ivs.services.ivs,IVSivs.services.ivsIntegrator,,0,45,,,160,Integrator,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_type_setting,,,
55,16,IVS,IVSDevice,14,23,ivs.services.ivs,IVSivs.services.ivsDevice,,0,45,,,8,Device,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_type_setting,,,
56,16,IVS,IVSParent,15,23,ivs.services.ivs,IVSivs.services.ivsParent,,0,45,,,165,Parent,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_type_setting,,,
57,16,IVS,IVSDevice,16,23,ivs.services.ivs,IVSivs.services.ivsDevice,,0,45,,,8,Device,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_setting,,,
58,16,IVS,IVSIntegrator,17,23,ivs.services.ivs,IVSivs.services.ivsIntegrator,,0,45,,,160,Integrator,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_setting,,,
59,16,IVS,IVSParent,18,23,ivs.services.ivs,IVSivs.services.ivsParent,,0,45,,,1,Parent,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_setting,,,
60,16,IVS,IVSDevice,19,23,ivs.services.ivs,IVSivs.services.ivsDevice,,0,45,,,1,Device,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_setting,,,
61,16,IVS,IVSPerson,20,23,ivs.services.ivs,IVSivs.services.ivsPerson,,0,45,,,1,Person,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_setting,,,
62,16,IVS,IVSDevice,21,23,ivs.services.ivs,IVSivs.services.ivsDevice,,0,45,,,50,Device,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_setting,,,
63,16,IVS,IVSParent,22,23,ivs.services.ivs,IVSivs.services.ivsParent,,0,45,,,1,Parent,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_setting,,,
64,16,IVS,IVSWeb Service,23,23,ivs.services.ivs,IVSivs.services.ivsWeb Service,,0,45,,,4,Web Service,IVS,Identity Verification Service API,ivs.services.ivs,Identity Verification,Can perform identity verification,/,,entity_service_setting,,,
65,16,IVS,IVSParent,1,24,ivs.services.ivsf,IVSivs.services.ivsfParent,IVSivs.services.ivsfavs.track.request,1,46,,,1,Parent,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,avs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,665
66,16,IVS,IVSParent,2,24,ivs.services.ivsf,IVSivs.services.ivsfParent,IVSivs.services.ivsfivs.track.request,1,47,,,1,Parent,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
67,16,IVS,IVSIntegrator,3,24,ivs.services.ivsf,IVSivs.services.ivsfIntegrator,IVSivs.services.ivsfivs.track.request,2,47,,,2,Integrator,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
68,16,IVS,IVSDevice,4,24,ivs.services.ivsf,IVSivs.services.ivsfDevice,IVSivs.services.ivsfivs.track.request,3,47,,,41,Device,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
69,16,IVS,IVSDevice,5,24,ivs.services.ivsf,IVSivs.services.ivsfDevice,,0,47,,,8,Device,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_setting,,,
70,16,IVS,IVSIntegrator,6,24,ivs.services.ivsf,IVSivs.services.ivsfIntegrator,,0,47,,,128,Integrator,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_setting,,,
71,16,IVS,IVSDevice,7,24,ivs.services.ivsf,IVSivs.services.ivsfDevice,,0,47,,,14,Device,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_setting,,,
72,16,IVS,IVSParent,8,24,ivs.services.ivsf,IVSivs.services.ivsfParent,,0,47,,,2,Parent,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_setting,,,
73,16,IVS,IVSParent,9,24,ivs.services.ivsf,IVSivs.services.ivsfParent,,0,47,,,165,Parent,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_type_setting,,,
74,16,IVS,IVSDevice,10,24,ivs.services.ivsf,IVSivs.services.ivsfDevice,,0,47,,,8,Device,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_type_setting,,,
75,16,IVS,IVSIntegrator,11,24,ivs.services.ivsf,IVSivs.services.ivsfIntegrator,,0,47,,,160,Integrator,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_type_setting,,,
76,16,IVS,IVSParent,12,24,ivs.services.ivsf,IVSivs.services.ivsfParent,,0,47,,,2,Parent,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_type_setting,,,
77,16,IVS,IVSDevice,13,24,ivs.services.ivsf,IVSivs.services.ivsfDevice,,0,47,,,1,Device,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_type_setting,,,
78,16,IVS,IVSParent,14,24,ivs.services.ivsf,IVSivs.services.ivsfParent,,0,47,,,1,Parent,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_type_setting,,,
79,16,IVS,IVSDevice,15,24,ivs.services.ivsf,IVSivs.services.ivsfDevice,,0,47,,,16,Device,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_type_setting,,,
80,16,IVS,IVSPerson,16,24,ivs.services.ivsf,IVSivs.services.ivsfPerson,,0,47,,,1,Person,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_type_setting,,,
81,16,IVS,IVSWeb Service,17,24,ivs.services.ivsf,IVSivs.services.ivsfWeb Service,,0,47,,,4,Web Service,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_type_setting,,,
82,16,IVS,IVSParent,18,24,ivs.services.ivsf,IVSivs.services.ivsfParent,,0,47,,,2,Parent,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_type_setting,,,
83,16,IVS,IVSParent,19,24,ivs.services.ivsf,IVSivs.services.ivsfParent,,0,47,,,130,Parent,IVS,Identity Verification Service API,ivs.services.ivsf,Identity Verification Foreigner,Can perform identity verification on foreigners,/foreign,,entity_service_setting,,,
84,16,IVS,IVSParent,1,25,ivs.services.photo,IVSivs.services.photoParent,IVSivs.services.photoavs.track.request,1,48,,,1,Parent,IVS,Identity Verification Service API,ivs.services.photo,IVS Photo,Can perform identity verification to return photo,/photo,avs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,665
85,16,IVS,IVSDevice,2,25,ivs.services.photo,IVSivs.services.photoDevice,IVSivs.services.photoivs.track.request,1,49,,,41,Device,IVS,Identity Verification Service API,ivs.services.photo,IVS Photo,Can perform identity verification to return photo,/photo,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
86,16,IVS,IVSIntegrator,3,25,ivs.services.photo,IVSivs.services.photoIntegrator,IVSivs.services.photoivs.track.request,2,49,,,2,Integrator,IVS,Identity Verification Service API,ivs.services.photo,IVS Photo,Can perform identity verification to return photo,/photo,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
87,16,IVS,IVSParent,4,25,ivs.services.photo,IVSivs.services.photoParent,IVSivs.services.photoivs.track.request,3,49,,,1,Parent,IVS,Identity Verification Service API,ivs.services.photo,IVS Photo,Can perform identity verification to return photo,/photo,ivs.track.request,entity_service_type_setting,entity_service_type_setting,TRUE,4829
88,16,IVS,IVSDevice,5,25,ivs.services.photo,IVSivs.services.photoDevice,,0,49,,,1,Device,IVS,Identity Verification Service API,ivs.services.photo,IVS Photo,Can perform identity verification to return photo,/photo,,entity_service_type_setting,,,
89,16,IVS,IVSWeb Service,6,25,ivs.services.photo,IVSivs.services.photoWeb Service,,0,49,,,4,Web Service,IVS,Identity Verification Service API,ivs.services.photo,IVS Photo,Can perform identity verification to return photo,/photo,,entity_service_type_setting,,,
90,16,IVS,IVSParent,7,25,ivs.services.photo,IVSivs.services.photoParent,,0,49,,,2,Parent,IVS,Identity Verification Service API,ivs.services.photo,IVS Photo,Can perform identity verification to return photo,/photo,,entity_service_type_setting,,,
